case,quarter,R.mth,age,country,1st time visitor,nbr visit past 3 yrs,mode of arrival,carrier,purpose of visit,purpose of visit_Grp,pov6a,Mono-SIN,Last Port,Next Port,length of stay,Travel Type,gender,marital status,companion_1,companion_2,companion_3,companion_4,companion_5,companion_6,accomodation ($),shop ($),fnb ($),transport ($),medical ($),others ($),Total
858,1,1,45-49 yrs,Indonesia,No,2,Air,Singapore Airlines Limited (SIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,4.00,FIT,Female,married,Spouse,,,,,,0.00,321.55,213.49,8.90,"1,500.00",0.00,"2,043.93"
859,1,1,50-54 yrs,Indonesia,No,1,Air,Singapore Airlines Limited (SIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,4.00,FIT,Female,married,Spouse,,,,,,444.76,556.55,124.53,35.58,0.00,0.00,"1,161.43"
873,1,1,50-54 yrs,Indonesia,No,2,Air,AirAsia Berhad (AXM),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Female,married,Spouse,,,,,,329.12,306.55,88.95,71.16,560.00,0.00,"1,355.79"
876,1,1,30-34 yrs,Indonesia,Yes,,Air,AirAsia Berhad (AXM),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Spouse,,,,,,177.91,406.55,88.95,14.83,0.00,0.00,688.24
877,1,1,45-49 yrs,Indonesia,No,6,Air,AirAsia Berhad (AXM),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,4.00,FIT,Male,married,Spouse,,,,,,177.91,656.55,44.48,8.90,600.00,0.00,"1,487.83"
909,1,1,55-59 yrs,Indonesia,No,18,Air,Garuda Indonesia (GIA),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,1.00,FIT,Male,married,Alone,,,,,,426.97,206.55,177.91,177.91,"5,200.00",0.00,"6,189.34"
910,1,1,30-34 yrs,Indonesia,No,8,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,3.00,FIT,Male,married,Alone,,,,,,759.06,256.55,118.60,118.60,0.00,0.00,"1,252.82"
911,1,1,45-49 yrs,Indonesia,No,20,Air,Garuda Indonesia (GIA),General business purpose,Business,Business,Mono-SIN,No,No,2.00,FIT,Male,married,Spouse,,,,,,0.00,156.55,177.91,0.00,0.00,0.00,334.46
913,1,1,30-34 yrs,Indonesia,No,10,Air,Garuda Indonesia (GIA),Holiday/ Rest & Relax,Leisure,Leisure,Mono-SIN,No,No,3.00,FIT,Female,married,Parents/ Parents-in-law,Other relatives,,,,,0.00,"1,456.55",142.32,23.72,0.00,0.00,"1,622.60"
932,1,1,45-49 yrs,Indonesia,No,10,Air,Indonesia AirAsia (AWQ),Outpatient consultation/treatment,Healthcare,Healthcare,Mono-SIN,No,No,day tripper,FIT,Male,married,Alone,,,,,,0.00,716.55,177.91,17.79,"4,000.00",0.00,"4,912.25"
