id,qtr,mth,age,first_time_visit,visits_p3y,arrival_method,carrier,pov,pov_grp,multi_dest,last_port,next_port,stay_length,travel_type,gender,married,accom_exp,shopping_exp,fnb_exp,transport_exp,medical_exp,other_exp,total_exp,accompanying_pax,avg_exp,companions,companions_total,comp_alone,comp_colleagues,comp_partner,comp_friends,comp_family,comp_children
1158,1,Jan,40-44,No,5,Air,SIA,Hol,Lei,No,No,No,4,FIT,Male,Yes,370.04,1323.22,97.85,53.37,0.0,0.0,1844.48,False,461.1199951171875,"['Spouse', 'Children aged 8-12 yrs', 'Children aged 13-19 yrs', 'Siblings']","Spouse, Children aged 8-12 yrs, Children aged 13-19 yrs, Siblings",False,False,True,False,True,True
1159,1,Jan,40-44,No,15,Air,AWQ,Otr_Lei,Lei,No,No,No,2,FIT,Male,Yes,177.91,156.55,66.71,22.24,1000.0,0.0,1423.41,True,711.7050170898438,"['Spouse', 'Children aged 8-12 yrs', 'Children aged 13-19 yrs']","Spouse, Children aged 8-12 yrs, Children aged 13-19 yrs",False,False,True,False,False,True
1183,1,Jan,35-39,No,10,Air,AXM,Hol,Lei,No,No,No,2,FIT,Male,Yes,355.81,856.55,35.58,0.0,0.0,0.0,1247.94,False,623.969970703125,['Alone'],Alone,True,False,False,False,False,False
1205,1,Jan,15-19,No,3,Air,AWQ,Hol,Lei,No,No,No,2,FIT,Female,No,311.33,826.55,133.43,11.12,0.0,0.0,1282.43,False,641.2150268554688,"['Parents/ Parents-in-law', 'Siblings']","Parents/ Parents-in-law, Siblings",False,False,False,False,True,False
1219,1,Jan,40-44,No,4,Air,GIA,Hol,Lei,No,No,No,3,FIT,Female,No,889.53,925.55,177.91,59.3,0.0,0.0,2052.29,False,684.0966796875,['Alone'],Alone,True,False,False,False,False,False
1220,1,Jan,45-49,No,12,Air,A_Otr,Stp,Lei,Yes,Yes,No,1,F&E,Female,Yes,89.6,1781.55,177.91,71.16,0.0,0.0,2120.22,False,2120.219970703125,['Children aged 13-19 yrs'],Children aged 13-19 yrs,False,False,False,False,False,True
1252,1,Jan,60-64,No,4,Air,AXM,Hol,Lei,Yes,Yes,Yes,1,FIT,Male,Yes,213.49,256.55,88.95,15.57,1500.0,0.0,2074.56,False,2074.56005859375,['Other relatives'],Other relatives,False,False,False,False,True,False
1272,1,Jan,50-54,Yes,0,Air,GIA,Gen_B,Bus,No,No,No,1,FIT,Male,Yes,711.62,315.55,0.0,0.0,0.0,0.0,1027.17,False,1027.1700439453125,['Alone'],Alone,True,False,False,False,False,False
1283,1,Jan,55-59,No,1,Air,GIA,Acco_Hea,Lei,No,No,No,2,FIT,Male,Yes,355.81,456.55,177.91,88.95,360.0,0.0,1439.22,True,719.6099853515625,['Spouse'],Spouse,False,False,True,False,False,False
1301,1,Jan,55-59,No,2,Air,GIA,Otr_Per,Lei,No,No,No,0,FIT,Male,Yes,0.0,916.55,88.95,44.48,0.0,0.0,1049.98,False,1049.97998046875,['Business associates/ Colleagues'],Business associates/ Colleagues,False,True,False,False,False,False
1307,1,Jan,25-29,No,10,Air,AXM,Vis,Lei,No,No,No,2,FIT,Male,No,1067.43,1656.55,533.72,0.0,0.0,0.0,3257.7,False,1628.8499755859375,['Alone'],Alone,True,False,False,False,False,False
1308,1,Jan,45-49,No,9,Air,AXM,Hea_T,Hea,No,No,No,2,FIT,Male,Yes,266.86,156.55,266.86,44.48,7000.0,0.0,7734.74,False,3867.3701171875,['Siblings'],Siblings,False,False,False,False,True,False
1315,1,Jan,30-34,No,5,Air,A_Otr,Gen_B,Bus,Yes,Yes,Yes,4,FIT,Male,No,889.53,456.55,177.91,35.58,0.0,0.0,1559.56,False,389.8900146484375,['Alone'],Alone,True,False,False,False,False,False
1337,1,Jan,30-34,No,5,Sea,Sea,Otr_Per,Lei,Yes,No,Yes,0,FIT,Male,Yes,0.0,156.55,7.83,4.7,0.0,0.0,169.07,False,169.07000732421875,['Alone'],Alone,True,False,False,False,False,False
1342,1,Jan,35-39,No,1,Sea,Sea,Otr_Per,Lei,No,No,No,0,FIT,Male,No,0.0,156.55,3.13,4.7,0.0,0.0,164.38,False,164.3800048828125,['Friends'],Friends,False,False,False,True,False,False
1343,1,Jan,15-19,No,60,Sea,Sea,Otr_Lei,Lei,No,No,No,10,FIT,Male,No,0.0,266.55,31.3,12.52,0.0,0.0,310.38,False,31.03800048828125,['Friends'],Friends,False,False,False,True,False,False
1348,1,Jan,30-34,No,15,Air,A_Otr,Hea_T,Hea,Yes,No,Yes,2,FIT,Female,Yes,177.91,156.55,26.69,13.34,200.0,0.0,574.49,False,287.2449951171875,['Spouse'],Spouse,False,False,True,False,False,False
1349,1,Jan,30-34,No,6,Air,AXM,Hol,Lei,Yes,No,Yes,1,FIT,Female,Yes,166.04,156.55,59.3,35.58,0.0,0.0,417.48,False,417.4800109863281,"['Spouse', 'Children aged 0-7 yrs']","Spouse, Children aged 0-7 yrs",False,False,True,False,False,True
1350,1,Jan,15-19,No,6,Sea,Sea,Vis,Lei,No,No,No,27,FIT,Female,No,0.0,156.55,0.0,2.32,0.0,0.0,158.87,False,5.884073893229167,['Other relatives'],Other relatives,False,False,False,False,True,False
1355,1,Jan,45-49,No,18,Sea,Sea,Otr_Per,Lei,Yes,No,Yes,0,FIT,Female,Yes,0.0,156.55,0.0,4.7,0.0,0.0,161.25,False,161.25,['Other relatives'],Other relatives,False,False,False,False,True,False
1357,1,Jan,20-24,No,2,Sea,Sea,Hol,Lei,Yes,No,Yes,8,FIT,Male,No,0.0,656.55,62.61,15.65,0.0,0.0,734.81,False,91.85124969482422,['Siblings'],Siblings,False,False,False,False,True,False
1359,1,Jan,50-54,No,2,Air,AXM,Vis,Lei,No,No,No,1,FIT,Female,Yes,0.0,156.55,0.0,0.0,0.0,0.0,156.55,False,156.5500030517578,"['Children aged 20-39 yrs', 'Other relatives', 'Others']","Children aged 20-39 yrs, Other relatives, Others",False,False,False,False,True,True
1368,1,Jan,60-64,No,1,Land,Land,Hol,Lei,Yes,Yes,Yes,2,FIT,Female,Yes,227.72,289.89,71.16,29.65,0.0,0.0,618.42,False,309.2099914550781,"['Children aged 20-39 yrs', 'Siblings', 'Others']","Children aged 20-39 yrs, Siblings, Others",False,False,False,False,True,True
